Column_1,Column_2,Column_3,Column_4,Column_5,Column_6
24.,PR Aditya Dwi Prasetyo,"Kedung I RT 005/RW 006, Karangtengah, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 088**********,,25932
25.,PR Adlan Agri Nusa,"Jl. Turi pulowatu Dusun Randusongo, Donokerto, Turi, Kabupaten Sleman, DI Yogyakarta",Telp. 081*******,,10520
26.,PR Adsa Griya Busana,"Kepuhan RT 08, Timbulharjo, Sewon, Bantul, Timbulharjo, Sewon, Kabupaten Bantul, DI Yogyakarta",Telp. 02746463135,,14111
27.,PR Advent Daru Prabawa,"Bansari RT04/RW04, Kepek, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081*********,,10799
28.,PR Ady Supramana,"SOROGATEN II, KARANGSEWU, GALUR, KULON PROGO, Karangsewu, Galur, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 085*********,,
29.,PT Aero Nusa Unicode,"Jl. Magelang Km 5.8 No. 60 A Dusun Patran, Sinduadi, Mlati, Kabupaten Sleman, DI Yogyakarta",Telp. -,,62019
30.,PR Afani Arifin,"Jl. Panembahan 27 Kraton Yogyakarta, Panembahan, Kraton, Kota Yogyakarta, DI Yogyakarta",Telp. 089*********,,13134
31.,CV Agilcraft Indonesia,"Jalan Raya Pajangan, Dukuh Jetis RT 001/RW 000, Sendangsari, Pajangan, Kabupaten Bantul, DI Yogyakarta",Telp. 081*********,,31001
32.,PR Agnes Damayani,"Jl. Mangunegaran Kulon No. 17, Panembahan, Kraton, Kota Yogyakarta, DI Yogyakarta",Telp. 081*********,,13134
33.,PR Agnes Sri Hartati,"Mriyan RT 04 RW 22, Margomulyo, Seyegan, Kabupaten Sleman, DI Yogyakarta",Telp. 088********,,10750
34.,"CV Agradaya Indonesia, Cv","Dusun Planden RT 03/14, Desa Sendangrejo, Kecamatan Minggir, Sendangrejo, Minggir, Kabupaten Sleman, DI Yogyakarta",Telp. 628**********,,21021
35.,CV Agrindo Suprafood,"Dsn. Pedukuhan Kretek Kidul RT. 02, Jambidan, Banguntapan, Kabupaten Bantul, DI Yogyakarta",Telp. 081*********,,10773
36.,PT Agrinesia Raya,"Jl Garuda Cupuwatu I, Purwomartani, Kalasan, Kabupaten Sleman, DI Yogyakarta",Telp. 081********,,10710
37.,PR Agung Danang Irawan,"Gondosuli rt 03 sriharjo imogiri bantul, Sriharjo, Imogiri, Kabupaten Bantul, DI Yogyakarta",Telp. 628**********,,10794
38.,PR Agung Prabowo,"Trembono, Tegalrejo, Gedangsari, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 085*********,,13134
39.,PR Agung Setyono,"Jalan Cungkuk 169A RT006, Desa/Kelurahan Ngestiharjo, Kec. Kasihan, Kab. Bantul, Provinsi Daerah Istimewa Yogyakarta Kode Pos: 55253, Ngestiharjo, Kasihan, Kabupaten Bantul, DI Yogyakarta",Telp. 628**********,,10772
40.,PR Agung Wiharta,"Jalan Pramuka No. 31 Dusun Code, Padukuhan Sragan RT 001, Trirenggo, Bantul, Kabupaten Bantul, DI Yogyakarta",Telp. 085*********,,32202
41.,PR Agus Adrian Mulyono,"Perumahan bangun graha sedayu No.B-32 Gg.2 RT.73 perengwetan, Desa/Kelurahan Argorejo, Kec. Sedayu, Kab. Bantul, Argorejo, Sedayu, Kabupaten Bantul, DI Yogyakarta",Telp. 085********,,11090
42.,PR Agus Eko Priyono,"Paten RT 48 RW 24 TUKSONO SENTOLO KULONPROGO, Tuksono, Sentolo, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 085*********,,10392
43.,PR Agus Indriasari Wijaya,"Perumahan Guwosari Blok 9 No 82, Guwosari, Pajangan, Kabupaten Bantul, DI Yogyakarta",Telp. 081*********,,10710
44.,PR Agus Lino Miter,"Nitikan Barat, Semanu, Semanu, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 628**********,,16291
45.,PR Agus Mudiyanto,"Mutihan No.95, Wates, Wates, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 085*********,,10750
46.,PR Agus Santosa,"BUDEGAN I, Piyaman, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081*********,,10710
47.,PR Agus Susanto,"Sorowajan rt13 banguntapan bantul, Banguntapan, Banguntapan, Kabupaten Bantul, DI Yogyakarta",Telp. 085*********,,10750
48.,PR Agus Tanta,"Bendo RT 51/ 15, Ngentakrejo, Lendah, Kulon Progo, Ngentakrejo, Lendah, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 085*********,,10710
49.,PR Agus Toni Susanto,"Blimbing, Planjan, Saptosari, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 085*********,,32120
50.,PR Agustina Kurniari Kusuma,"Kedulan No. 16 RT 001 RW 029, Tirtomartani, Kalasan, Kabupaten Sleman, DI Yogyakarta",Telp. 081*********,,10590
51.,PR Agustina Neilla Putri,"Karang 005/003, Tuksono, Sentolo, Kulon Progo, Tuksono, Sentolo, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 089*********,,13924
52.,PR AGUSTINUS SULISTYO,"Kalinongko, Pagerharjo, Samigaluh, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 081*********,,10761
53.,PR Ahmad Almadi,"RT 002/RW 006, KEDUNG I, Karangtengah, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081*********,,25931
54.,PR Ahmad Nurhabib,"Karangasem, Muntuk, Dlingo, Kabupaten Bantul, DI Yogyakarta",Telp. 088*********,,14131
55.,PR AHMAD SYIFA,"Jl. Pedes Godean RT 02 RW 28 Pirak Mertosutan Kel. Sidoluhur Kec. Godean Kab. Sleman, Sidoluhur, Godean, Kabupaten Sleman, DI Yogyakarta",Telp. 081*******,,13134
56.,PR Ahmad Yahyadi,"Banyumeneng I, Giriharjo, Panggang, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 628**********,,12019
57.,PR Ajeng Dwi Ayu Marthania Kathon,"Paviliun Rizky No 125a Gondanglegi RT 01 RW 13, Sariharjo, Ngaglik, Kabupaten Sleman, DI Yogyakarta",Telp. 081*********,,10710
58.,PR Ajeng Mariska Kurniawati,"JOTAWANG RT 1 NO. 46, Bangunharjo, Sewon, Kabupaten Bantul, DI Yogyakarta",Telp. 081*********,,10710
59.,CV Aji Sentosa,"Gumawang RT.023/RW.006, Putat, Patuk, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 085*********,,31001
60.,CV Aji Sentosa,"Kampung Kidul RT.002/RW.002, Kampung, Ngawen, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081*********,,31001
61.,PR Aking Lestari,"Jl. wediombo km 0,5, Pendowo 01/06, Jepitu, Girisubo, Jepitu, Girisubo, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081*********,,10216
62.,PR Aksa Karya Satria Angkasa,"Jl. Jogoripon Timur No.27E, Geneng, Panggungharjo, Sewon, Kabupaten Bantul, DI Yogyakarta",Telp. 081*********,,26710
63.,PT Aksamala Adi Andana,"Petung RT 03, Bangunjiwo, Kasihan, Kabupaten Bantul, DI Yogyakarta",Telp. 082*********,,21022
64.,CV Aksara Digital,"Jln Raya Kledokan B10, Caturtunggal, Depok, Kabupaten Sleman, DI Yogyakarta",Telp. 081********,,63122
65.,PT Akusara Adi Sahwahita,"Jl. Imogiri Barat 119b, Bangunharjo, Sewon, Kabupaten Bantul, DI Yogyakarta",Telp. 085*********,,20232
66.,PR Al Kitchen,"Sendangrejo RT. 24 RW. 12, Purwoharjo, Samigaluh, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 085*********,,10710
67.,CV Al Manar Herbafit,"JL. IMOGIRI TIMUR KM. 7, Wirokerten, Banguntapan, Kabupaten Bantul, DI Yogyakarta",Telp. 088********,,21022
68.,CV Alas Gembol,"JALAN IMOGIRI BARAT KM 6,5 NGOTO BANGUNHARJO SEWON BANTUL YOGYAKARTA, Bangunharjo, Sewon, Kabupaten Bantul, DI Yogyakarta",Telp. 02744396317,,31001
69.,PR Albert Saputra,"JL. CANGKRINGAN NO 68, Tirtomartani, Kalasan, Kabupaten Sleman, DI Yogyakarta",Telp. 087*********,,23953
70.,PT Aleyah Sintasint Farma,"Krebet, Tuksono, Sentolo, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 0274557334,,20232
71.,CV Alfa Karya Mandiri,"Balong Lor Rt.004 Potorono Banguntapan Bantul, Potorono, Banguntapan, Kabupaten Bantul, DI Yogyakarta",Telp. 085*********,,14120
72.,PR Alfa Tech,"SIDEMAN, GIRIPENI, WATES, Giripeni, Wates, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 085*********,,28210
73.,PR Alfian Adi Chandra,"Ngrombo RT02 RW02, Bedoyo, Ponjong, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081*********,,23942
74.,PR Alfina Zulfaredian,"Jalan Sidomoyo, Sidomoyo, Godean, Kabupaten Sleman, DI Yogyakarta",Telp. 089*********,,13921
75.,PR Alia Snack,"Gunung Rego, Hargorejo, Kokap, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 089********,,10794
76.,PT Aliet Green Ltd,"Jalan Raya Barongan KM. 0.5,, Sumberagung, Jetis, Kabupaten Bantul, DI Yogyakarta",Telp. +6281227863341,,10722
77.,PT Alkautsar Cater Indonesia,"Jl Kaliurang Km 4,5, Caturtunggal Depok, Sleman, DIY 55281, Caturtunggal, Depok, Kabupaten Sleman, DI Yogyakarta",Telp. 081*********,,10750
78.,CV Allatief Herbal,"Jl. gurah Al-fatah No.01 Cengkehan Rt.02, Wukirsari, Imogiri, Kabupaten Bantul, DI Yogyakarta",Telp. 081********,,21022
79.,PT Allpro Mirai Indonesia,"Dusun Jongkang No 107, Sariharjo, Ngaglik, Kabupaten Sleman, DI Yogyakarta",Telp. 02159664331,,71102
80.,PT Almi Furniture Perdana,"GODEGAN DK II GATAK RT 05, Tamantirto, Kasihan, Kabupaten Bantul, DI Yogyakarta",Telp. 0274-4342888,,31001
81.,PR Aloysius Guntur Tridhonanto,"Tahunan UH.3/145, Tahunan, Umbulharjo, Kota Yogyakarta, DI Yogyakarta",Telp. +628112507741,,10794
82.,PT Alpad Dwi Hasta,"Jl. Bima Sakti 15, Demangan, Gondokusuman, Kota Yogyakarta, DI Yogyakarta",Telp. 081********,,62019
83.,PR ALUSIUS HERU TRI CAHYANTO,"Trimulyo 1 RT 03/01, Kepek, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 089**********,,31001
84.,PR Alyskha Rekamedia,"Mulungan Kulon Rt.005 RW.014, Sendangadi, Mlati, Sleman, Yogyakarta, Sendangadi, Mlati, Kabupaten Sleman, DI Yogyakarta",Telp. 081********,,18111
85.,CV Amanah Technopark Telematika,"POTRONANGGAN RT: 006, KRAGILAN, TAMANAN, BANGUNTAPAN, Kabupaten Bantul, DI Yogyakarta",Telp. 081********,,62090
86.,PT Amanah Tirta Jogja,"Jamblangan RT 003 RW 022, Purwobinangun, Pakem, Kabupaten Sleman, DI Yogyakarta",Telp. 082*********,,11051
87.,CV Amartha Indotama,"Watugedug, RT. 01, Guwosari, Pajangan, Kabupaten Bantul, DI Yogyakarta",Telp. 0274-2812996,,31001
88.,PT Ameya Livingstyle Indonesia,"Gupawarak, Sendangsari, Pajangan, Kabupaten Bantul, DI Yogyakarta",Telp. 02746466796,,14111
89.,PT Amretta Zayne Salama,"Jl. Depokan II/183 RT 07 RW 02, Prenggan, Kotagede, Kota Yogyakarta, DI Yogyakarta",Telp. 087*********,,10520
90.,CV Amx Uav Technologies,"Wirosaban Barat No.20, Sorosutan, Umbulharjo, Kota Yogyakarta, DI Yogyakarta",Telp. 081*******,,26210
91.,CV An Nuur Herbal Indonesia,"Jalan Letkol Subadri, Triharjo, Sleman, Kabupaten Sleman, DI Yogyakarta",Telp. 081*******,,21022
92.,CV Anak Bangsa Cerdas (abc) Toys,"Gedongkiwo MJ1 / 676, Yogyakarta, Gedongkiwo, Mantrijeron, Kota Yogyakarta, DI Yogyakarta",Telp. 085*********,,32402
93.,PT Analis Forensik Digital,"Jl. Tribrata No. 1, Klitren, Gondokusuman, Kota Yogyakarta, DI Yogyakarta",Telp. 081********,,62090
94.,PR Anang Darmawan,"Griya Mulia Asri Blok I no.8 Mayungan, Potorono, Banguntapan, Kabupaten Bantul, DI Yogyakarta",Telp. 087*********,,18111
95.,PR Anas,"Bantul Yogyakarta Indonesia, Bambanglipuro Bantul Yogyakarta Indonesia, Mulyodadi, Bambanglipuro, Kabupaten Bantul, DI Yogyakarta",Telp. 089********,,14111
96.,PR Anastasia Erlina,"Jl. Merpati Gang Maleo No 7 RT 01/RW 33 Sono Wedomartani Ngemplak, Wedomartani, Ngemplak, Kabupaten Sleman, DI Yogyakarta",Telp. 087*********,,10750
97.,CV Andalan Presisi Engineering,"Jalan Sepiangin Selatan no.9, Batukencana, Wirokerten, Kec.Banguntapan, Bantul, Yogyakarta, Wirokerten, Banguntapan, Kabupaten Bantul, DI Yogyakarta",Telp. (0274) 4299951,,16221
98.,PR Andi Batari Toja,"Karanggayam RT/RW. 04/011, Sumberrejo, Tempel, Kabupaten Sleman, DI Yogyakarta",Telp. 085*********,,10216
99.,UD Andi Darmansyah,"Jalan Wates km 7.2, Balecatur, Gamping, Kabupaten Sleman, DI Yogyakarta",Telp. 082*********,,10710
100.,CV Andi Offset,"Jl. Beo No.38-40, Caturtunggal, Depok, Kabupaten Sleman, DI Yogyakarta",Telp. 0274 561881,,18111
101.,PR Andis Utomo,"Jl. Parangtritis KM 9, Gang	Petruk, Dukuh Gatak,	No.	45, Timbulharjo, Sewon, Kabupaten Bantul, DI Yogyakarta",Telp. 087***********,,15121
102.,PR Andiyanto Setyo Wibowo,"Nitikan Barat, Semanu, Semanu, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 628**********,,16291
103.,PR Andreas Andry Warih Saputra,"Nanggulan rt 06 tw16 no 06, , , Kabupaten Sleman, DI Yogyakarta",Telp.,,20299
104.,PR Andrian Wijaya,"Batu Indah Jalan P. Mangkubumi No. 85, Gowongan, Jetis, Kota Yogyakarta, DI Yogyakarta",Telp. 088********,,32111
105.,PR Andrianto Soeristyo Soerahmad,"Alamat 1: Perum II Jalan Jeruk D36, RT:006 RW:015.         Alamat 2: Griya Pratama Asri No. 3A, Jalan Godean KM7, Jalan Munggur., Sidoarum, Godean, Kabupaten Sleman, DI Yogyakarta",Telp. 081**********************,,11090
106.,PR Andrie Pasha Laksa,"BELURAN RT01/03, Sidomoyo, Godean, Kabupaten Sleman, DI Yogyakarta",Telp. 081*********,,10799
107.,PT Aneka Dharma Persada,"Jalan Wates Km. 12 bandut Lor Rt.33 Argorejo Sedayu Bantul DIY, Desa/Kelurahan Argorejo, Kec. Sedayu, Kab. Bantul, Provinsi Daerah Istimewa Yogyakarta Kode Pos: 55752,, Argorejo, Sedayu, Kabupaten Bantul, DI Yogyakarta",Telp. 0274 4436733,,23957
108.,PR Anggraini Hermana,"Purbonegaran GK V / 1252 Yogyakarta, Terban, Gondokusuman, Kota Yogyakarta, DI Yogyakarta",Telp. +62 812-1133-0899,,15129
109.,PR Anggratia Dwiwanti,"Kalongan, Tlogoadi, Mlati, Kabupaten Sleman, DI Yogyakarta",Telp. 085*********,,10794
110.,PT Anggun Kreasi Garmen,"Bakal Dukuh, Argodadi, Sedayu, Kabupaten Bantul, DI Yogyakarta",Telp. 02742810806,,14111
111.,PR Angken Dwi Mei Sani,"kembang Basen Kg III/378 RT.13 RW.04, Purbayan, Kotagede, Kota Yogyakarta, DI Yogyakarta",Telp. 089*********,,10779
112.,PR Ani Dianingsih,"Duwet 2,RT 071/ RW 032, Banjarharjo, Kalibawang, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 085*********,,10799
113.,PR Ani Muslimah,"Singkar 2, Wareng, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 089*********,,10794
114.,PR Ani Setiawati,"Siliran I RT 018 RW 09, Karangsewu, Galur, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 087*********,,10710
115.,PR ANIFAH MEI KHATI,"PLOSOKUNING V RT 21 RW 09, Minomartani, Ngaglik, Kabupaten Sleman, DI Yogyakarta",Telp. 0274886667,,10792
116.,PR Anik Lestari,"Watugilang A, Mulusan, Paliyan, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 082*********,,13134
117.,PR Anik Prihartini,"Pandansari, Wonosari, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081*********,,10710
118.,PR Anik Tri Hartanti,"PUTAT WETAN, Putat, Patuk, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081*********,,10710
119.,PR Anis Riyati Primastuti,"MAREDAN, Sendangtirto, Berbah, Kabupaten Sleman, DI Yogyakarta",Telp. 081********,,10750
120.,"PR Anisatul Khoiroh,sp","MUJU MUJA UH 2 /825 UMBULHARJO YOGYAKARTA, Muja Muju, Umbulharjo, Kota Yogyakarta, DI Yogyakarta",Telp. 089********,,13133
121.,PR Anita Mandasari,"Jambe, Ngijo, Semin, Semin, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081*********,,10750
122.,PR Anjar Muryani,"SUMUR, Giripurwo, Purwosari, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 085*********,,10792
123.,PR Anna Collection,"Jln Pandu Dewanoto No.88, Guwosari, Pajangan, Kabupaten Bantul, DI Yogyakarta",Telp. 085********,,14111
124.,CV Anna Craft,"Nogosari RT 07 RW 25, Trirenggo, Bantul, Kabupaten Bantul, DI Yogyakarta",Telp. 081*******,,16299
125.,PR Anna Gunawan Admojo,"Jalan Poncodirjan Bolodukuh Lor RT.01 RW.06, Sidorejo, Ponjong, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081********,,23963
126.,PR Annanda Dian Pratama,"Panggang Rt 58 Rw 27, Bumirejo, Lendah, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 081*********,,13134
127.,PR Annie Martha Rosang,"Kendalrejo, Wiladeg, Karangmojo, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081*********,,10799
128.,PR Annisa Nur Aini,"Gejawan Wetan RT.002 RW.036, Balecatur, Gamping, Sleman, Yogyakarta, Balecatur, Gamping, Kabupaten Sleman, DI Yogyakarta",Telp. 085*********,,32909
129.,PR Annisa Vebriana,"TAWARSARI, Wonosari, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 085*********,,18111
130.,PR Antonita Suharyati,"Ganjuran Indah BLok A no 17 Gedogan, Sumbermulyo, Bambanglipuro, Kabupaten Bantul, DI Yogyakarta",Telp. +62 858-6824-5161,,13133
131.,PR Antonius Pramono Catur Nugroho Wibowo,"jl. rakailayang no.99 perumahan gunung sempu RT 04 Tamantirto kasihan bantul yogyakarta, Tamantirto, Kasihan, Kabupaten Bantul, DI Yogyakarta",Telp. 082*********,,10762
132.,CV Anugerah Abadi,"Jokerten Dobalan RT 06, Timbulharjo, Sewon, Kabupaten Bantul, DI Yogyakarta",Telp. 0274 6463122,,20231
133.,PR Anugerah Jaya Fam,"Kemirikebo RT 04 RW 08, Girikerto, Turi, Kabupaten Sleman, DI Yogyakarta",Telp. 083*********,,10520
134.,PT Anugerah Kasih Putera,"Jalan Laksda Adisucipto KM.6, Janti, Caturtunggal, Depok, Kabupaten Sleman, DI Yogyakarta",Telp. 082*********,,
135.,PT Anugerah Sejahtera Putera,"Jl. Magelang Km. 7.5, Jongke Tengah, Sendangadi, Mlati, Kabupaten Sleman, DI Yogyakarta",Telp. 0274866000,,45201
136.,PT Anugrah Multi Ragam Indonesia,"Mredo kulon, Bangunharjo, Sewon, Kabupaten Bantul, DI Yogyakarta",Telp. 081*******,,20231
137.,PT Anugrah Subur Makmur,"Kenaji RT 06 / RW 02, Tamanmartani, Kalasan, Kabupaten Sleman, DI Yogyakarta",Telp. +6281227209141,,20127
138.,PR Anwar Mujahid,"Karangtengah, Sumberwungu, Tepus, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081*********,,15121
139.,PT Anwid Graha,"Mangkudranan, Margorejo, Tempel, Kabupaten Sleman, DI Yogyakarta",Telp. 0274 869178,,22220
140.,PR Apik Dasteran,"Jl. Ngentak Kalirandu Perumahan Bangunjiwo Grahayas A15, Bangunjiwo, Kasihan, Kabupaten Bantul, DI Yogyakarta",Telp. 085*********,,14111
141.,PR Apip's Batik,"Pandega Marta 37A Pogung Lor Kel. Sinduadi Kec. Mlati Kab. Sleman, Sinduadi, Mlati, Kabupaten Sleman, DI Yogyakarta",Telp. 081*********,,13134
142.,CV Aquiva,"dk. semen rt.50 rw 25 sukorno sentolo kulon progo diy, Sukoreno, Sentolo, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 085*********,,31001
143.,CV Ardhi Jaya,"Jl. Bugisan Selatan No. 9, tirtonirmolo, Kasihan, Kabupaten Bantul, DI Yogyakarta",Telp. 081*********,,21022
144.,CV Ardians Racing Suit,"Jl. Parangtritis Km 4.5 Saman, Bangunharjo, Sewon, Kabupaten Bantul, DI Yogyakarta",Telp. 0274 374439,,14112
145.,PR ARDIANTO DWI NUGROHO,"Gamping Kidul RT.03 RW.19, Ambarketawang, Gamping, Kabupaten Sleman, DI Yogyakarta",Telp. 087*********,,12099
146.,PR Ari Anggoro,"Jl. Sidomoyo, Beluran, Sidomoyo, Godean, Kabupaten Sleman, DI Yogyakarta",Telp. 087*********,,10710
147.,PR Ari Catur Kundarwati,"KARONGAN 003/011, Jogotirto, Berbah, Kabupaten Sleman, DI Yogyakarta",Telp. 081*********,,13134
148.,PR Ari Setiawan,"Klepu, Karangasem, Ponjong, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081*********,,20121
149.,PR Aricha Batik,"Rt47/Rw22, Mendiro,Gulurejo,Lendah, Kulon Progo, Yogyakarta, Gulurejo, Lendah, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 082*********,,13134
150.,PR Arief Widyanto,"LOGANDENG, Logandeng, Playen, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081*********,,11052
151.,PR Arif Jaka Triyanta,"GAMPLONG	I, Sumberrahayu, Moyudan, Kabupaten Sleman, DI Yogyakarta",Telp. 081********,,14120
152.,PR Arif Wicaksono,"Jalan Pelem Kidul, Baturetno, Banguntapan, Kabupaten Bantul, DI Yogyakarta",Telp. 82136204823,,13134
153.,PR Arifa Rida Naila,"Jl. KS. Tubun No 37 RT 52 RW 11 Ngampilan, Ngampilan, Yogyakarta, Ngampilan, Ngampilan, Kota Yogyakarta, DI Yogyakarta",Telp. 085*********,,13134
154.,PR Aris Suryono S.sn.,"Kleben-kuncen RT25 RW06 WBI/581 Yogyakarta, Wirobrajan, Wirobrajan, Kota Yogyakarta, DI Yogyakarta",Telp. 081********,,16293
155.,CV Arkazkia Provitama Prime,"Tobratan RT 06, Wirokerten, Banguntapan, Kabupaten Bantul, DI Yogyakarta",Telp. 085*********,,18202
