Column_1,Column_2,Column_3,Column_4,Column_5,Column_6
106.,PT Perorangan AJUN NARA ENDODA,"Jl. Siliwangi No 30 Kelurahan Muara Ciujung TImur Kecamatan Rangkasbitung, Muara Ciujung Timur, Rangkasbitung, Kabupaten Lebak, Banten",Telp. 085*********,,18111
107.,PT Akatech Biotama Indonesia,"Pergudangan Bizpoint, Jl. Busan Blok B No. 18,, Sukamulya, Cikupa, Kabupaten Tangerang, Banten",Telp. 082*********,,28299
108.,PT AKEDA MULTI MEDIA,"JL. RAYA PERANCIS NO. 2, PERGUDANGAN PANTAI INDAH DADAP BLOK H/7, KEL. DADAP, , KOSAMBI, Kota Tangerang, Banten",Telp. 55954291,,
109.,CV Akhtar Abadi Persada,"Kp. Tuis, Mekar Kondang, Sukadiri, Kabupaten Tangerang, Banten",Telp. -,,
110.,PT Akita Prima Mobilindo,"JL. IMAM BONJOL NO.1 KARAWACI, PANUNGGANGAN BARAT, CIBODAS, Kota Tangerang, Banten",Telp. 021-55733999,,
111.,PT Akita Prima Mobilindo,"JL. RAYA PONDOK CABE BLOK CA NO.1, PONDOK CABE ILIR, PAMULANG, Kota Tangerang Selatan, Banten",Telp. 021-7410888,,45201
112.,PT AKITA RAYA INDONESIA,"JL RAYA SALEMBARAN KOMPLEK PERGUDANGAN 99 BLOK I NO. 8, CENGKLONG, KOSAMBI, Kabupaten Tangerang, Banten",Telp. 02155933199,,
113.,PT Akram Mandiri Paripurna,"Kampung Kendal Kulon, RT 03 / RW 06, Sindangpanon, Sindang Jaya, Kabupaten Tangerang, Banten",Telp. 085*********,,22199
114.,PT Akrilikkurnia Kencana,"Jl. Raya Serang KM 14,4 Desa Dukuh, Cikupa, Cikupa, Kabupaten Tangerang, Banten",Telp. 0215960088,,22220
115.,PT Aksesindo Buana Perkasa,"Green Lake Rukan CBD Blok J No. 11, Ketapang, Cipondoh, Kota Tangerang, Banten",Telp. 8158285550,,27120
116.,PT Akustika Swara Indonesia,"Jl. Kuta Bumi Raya No.59, Karet, Kec. Sepatan, Kabupaten Tangerang, Banten 15520, Karet, Sepatan, Kabupaten Tangerang, Banten",Telp. 02155732136,,31001
117.,CV Al-anshor,"JL. RA. KARTINI, JOMBANG WETAN, JOMBANG, Kota Cilegon, Banten",Telp. 081*********,,14120
118.,PT Alam Arta Wijaya,"Jl. Wadassari II No. 47, Pondok Betung, Pondok Aren, Kota Tangerang Selatan, Banten",Telp. 081*********,,28160
119.,CV Alam Aulia Bestari,"Kampung Naretel, Sukacai, Baros, Kabupaten Serang, Banten",Telp. -,,11051
120.,PT Alam Cendana,"-JL.RAYA PASAR KEMIS KAMPUNG GELAM OJEG NO 53, Kuta Jaya, Pasar Kemis, Kabupaten Tangerang, Banten",Telp. 021-5903421,,24202
121.,PT Alam Cipta Lestari,"Jl. Modern Industri VI Blok K No. 8 , Kawasan Industri Modern Cikande, Nambo Ilir, Kibin, Kabupaten Serang, Banten",Telp. 02129676236,,24202
122.,CV Alam Gas,"taman danau indah blok G 1-2 RT 001 RW. 003, pabuaran tumpeng, karawaci, Kota Tangerang, Banten",Telp. 02155725691,,
123.,PT Alam Indo Plastik,"JL. ISKANDAR MUDA NO. 119 RT. 004/001, KEDAUNG BARU, NEGLASARI, Kota Tangerang, Banten",Telp. -,,22220
124.,PT Alam Jaya Abadi Perkasa,"Cukanggalih, RT.004/RW.002, Cukanggalih, Curug, Kabupaten Tangerang, Banten",Telp. 0215985014,,32904
125.,PT Alam Lestari Lancar,"Jl. Arya Kemuning no 98 RT. 002 RW 007, Periuk, Periuk, Kota Tangerang, Banten",Telp. 02159713563,,38302
126.,PT ALAM LESTARI UNGGUL,"Jl. Raya Serang Km 12 Desa Bunder Cikupa, Bunder, Cikupa, Kabupaten Tangerang, Banten",Telp. 021-5960277,,25951
127.,PT Alam Raya Karya Sukses,"BSD Sektor XI Blok H.2 No. 36, Setu, Setu, Kota Tangerang Selatan, Banten",Telp. 02175874804,,32502
128.,PT Alam Raya Karya Sukses,"Jl. Multiguna II Sektor 11 Taman Tekno Blok H2 No. 36, Setu, Setu, Kota Tangerang Selatan, Banten",Telp. 021-75874804,,32501
129.,PT Alamanda Global Health,"KAWASAN MILLENIUM INDUSTRY  BLOK L2 NO.27, PEUSAR, PANONGAN, Kabupaten Tangerang, Banten",Telp. 02129159130,,20232
130.,PT Alamkaca Prabawa Indonesia,"Kawasan Industri Nambo Jaya, Nambo Jaya, Karawaci, Kota Tangerang, Banten",Telp. 0215585670,,23129
131.,PT Alamraya Essindo,"Jl. Unggul (Arya Jaya Santika), Pasir Bolang, Tigaraksa, Kabupaten Tangerang, Banten",Telp.,,10772
132.,PT Alasmas Berkat Utama,"Jl. Bhumimas Raya No. 15 Kawasan Industri dan Pergudangan Cikupamas, Talaga, Cikupa, Kabupaten Tangerang, Banten",Telp. 021-59404361,,15203
133.,PT Alat Ukur Indosurta,"jl Giliraja II Q2/32 Nusaloka Sek XIV-5 BSd City, Rawa Mekarjaya, Serpong, Kota Tangerang Selatan, Banten",Telp. 021-53158021,,71205
134.,PT Alba Unggul Metal,"JL. Industri Raya III Blok AC No.2 Kawasan Industri Jatake, Bunder, Cikupa, Kabupaten Tangerang, Banten",Telp. 02159301445,,31004
135.,PT Albaba Inti Group,"Jl. Haji Umar No. 16, Ciwaduk, Cilegon, Kota Cilegon, Banten",Telp. 087*********,,
136.,PT Albarokah-al Imam,"JL. RAYA SERANG KM. 25, NAGREG, RT/RW 004/001, SENTUL, BALARAJA, Kabupaten Tangerang, Banten",Telp. 021 55652019,,25920
137.,PT Ale Anarat Corp,"Jl. Kh. Abdul Wahid No.49 Kp. Bugel RT.002/004, Kadu Agung, Tigaraksa, Kabupaten Tangerang, Banten",Telp. 089********,,10750
138.,PT Aleeya Berkah Mandiri,"Kp. Harendong Pasar RT 009/003, Jawilan, Jawilan, Kabupaten Serang, Banten",Telp. 085*********,,10437
139.,PT Alexindo Enviro Solusi,"PERGUDANGAN TAMAN TEKNO BLOK H8 NO 7, Setu, Setu, Kota Tangerang Selatan, Banten",Telp. 02138939019,,71202
140.,PT Alexindo Putramandiri,"Kp Kebon Kelapa RT/RW: 005/004, Pasar Kemis, Pasar Kemis, Kabupaten Tangerang, Banten",Telp. 0215904080,,28192
141.,PT Alfa Bangun Persada,"Zona Industri Jl CBA Raya Kav.11, Pasir Buyut, Cikande, Kabupaten Serang, Banten",Telp. 0254 - 402111,,23911
142.,PT Alfa Metal Teknik,"Pergudangan 8, Blok QM, Tangerang Regency, Jati Mulya, Kosambi, Kabupaten Tangerang, Banten",Telp. 085*********,,28130
143.,CV Alfa Pratama Mandiri,"Jl. KH. Abdul Hadi No. 76, Cipare, Serang, Kota Serang, Banten",Telp. 081*********,,18111
144.,PT Alfa Prima Sentosa,"Jl. Raya Perancis No.2 Blok CK 22,23,25 & 26 RT.002 RW 004, Kosambi Timur, Kosambi, Kabupaten Tangerang, Banten",Telp. (021) 5596-2222,,25113
145.,PT Alfa Surya Gemilang,"Jalan LPPU KM 03, Kp. Onyam, Kadu, Curug, Kabupaten Tangerang, Banten",Telp. 02159894014,,17021
146.,PT Alfa Surya Mandiri,"Jalan Industri Keroncong no 3 RT 004/RW 04, Keroncong, Jatiuwung, Kota Tangerang, Banten",Telp. 02159714549,,17022
147.,PT Alfajaya Sejahtera,"Jalan Bojong Larang No. 11B, Bojong Jaya, Karawaci, Kota Tangerang, Banten",Telp. 021-5520421,,22220
148.,CV Alfin Putra Mandiri,"Taman Widya Asri A.1 No.7, Lontarbaru, Serang, Kota Serang, Banten",Telp. 081*********,,10750
149.,PT Aliansi Temprina Nyata Grafika,"JL.RAYA BENDA NOMOR 26, Benda, Benda, Kota Tangerang, Banten",Telp. 0215553472,,18111
150.,PT Alifan Mega Kencana,"Jln. Ir H. Juanda, No.75 G, Ruko Ciputat Center, Cireundeu, Ciputat Timur, Kota Tangerang Selatan, Banten",Telp. 081*******,,71203
151.,PT Alindo Grup Perkasa,"Pergudangan Sunrise Bizpark Blok D No. 36, Jl. Prabu Siliwangi No.Km 3,5, Kuta Jaya, Pasar Kemis, Kabupaten Tangerang, Banten",Telp. 081*******,,32300
