Column_1,Column_2,Column_3,Column_4,Column_5,Column_6
339.,PR I Gede Rendata,"Banjar Dinas Baturinggit Kaja, Baturinggit, Kubu, Kabupaten Karang Asem, Bali",Telp. 087*********,,10793
340.,PR I Gede Sadra,"Desa Bantang, Bantang, Kintamani, Kabupaten Bangli, Bali",Telp. 081*********,,16291
341.,PR I Gede Srinara,"BJR DINAS LEMPEDU, Desa/Kelurahan Les, Kec. Tejakula, Les, Tejakula, Kabupaten Buleleng, Bali",Telp. 081*********,,10774
342.,PR I Gede Suryadha,"jalan pengalasan 1 no 6, Padangsambian, Denpasar Barat, Kota Denpasar, Bali",Telp. 081********,,
343.,PR I Gede Sutana Arimbawa,"Banjar Anggasari, Ekasari, Melaya, Kabupaten Jembrana, Bali",Telp. 087*********,,10732
344.,PR I Gede Wahyu Suryatama,"Br. Dinas Gumung, Ds. Tenganan, Tenganan, Manggis, Kabupaten Karang Asem, Bali",Telp. 081*********,,16292
345.,PR I Gede Wibawa,"Jalan Panji, Banjar Dauh Pangkung, Pekutatan, Pekutatan, Kabupaten Jembrana, Bali",Telp. 081*********,,31001
346.,PR I Gede Yudiana,"JL. WR.Supratman GG.Swadaya X Br.Kertagraha Kesiman Kertalangu, Kesiman Kertalangu, Denpasar Timur, Kota Denpasar, Bali",Telp. 081********,,
347.,PR I Gede Yusa Sunarta,"Banjar Wanasari, Ekasari, Melaya, Kabupaten Jembrana, Bali",Telp. 085********,,10732
348.,PR I Gst. Ag. Ngr. Kencana P.se,"Jalan Nangka Gang XI No 17, Dangin Puri Kaja, Denpasar Utara, Kota Denpasar, Bali",Telp. 081*********,,14111
349.,PR I Gusti Agung Ari Saputra,"BANJAR DINAS BUKIT SAKTI, Lokapaksa, Seririt, Kabupaten Buleleng, Bali",Telp. 088*********,,31001
350.,PR I Gusti Agung Ayu Kartini Dewi,"JALAN KUTAI, BANJAR SEBUAL, Desa/Kelurahan Dangin Tukadaya, Kec. Jembrana, Dangin Tukadaya, Jembrana, Kabupaten Jembrana, Bali",Telp. 087************,,11090
351.,PR I Gusti Agung Ayu Yunita Utami,"Jalan Pulau Bawean, Br. Jagasatru, Kediri, Kediri, Kabupaten Tabanan, Bali",Telp. 081********,,10422
352.,PR I Gusti Ayu Agung Lunetta Maha Dewi Dp,"Jl. Muding Indah No.99 Lingk.Petingan, Kerobokan  Kaja, Kuta Utara, Kabupaten Badung, Bali",Telp. 081*********,,16291
353.,PR I Gusti Ayu Oka,"Br. Dinas Budamanis, Sidemen, Sidemen, Kabupaten Karang Asem, Bali",Telp. 085*********,,
354.,PR I Gusti Ayu Oka Rukmini,"Banjar Dinas Budamanis, Sidemen, Sidemen, Kabupaten Karang Asem, Bali",Telp. 085*********,,13121
355.,PR I Gusti Ayu Putu Sriyani,"Banjar Dinas Tiyingtali Kelod, Tiying Tali, Abang, Kabupaten Karang Asem, Bali",Telp. +6281246361760,,10794
356.,PR I Gusti Ayu Sri Widnyani,"BANJAR DINAS JRO GUSTI, Bungkulan, Sawan, Kabupaten Buleleng, Bali",Telp. 087*********,,10794
357.,PR I Gusti Kade Muliawan,"Jalan Kartini No, 4, Dauhwaru, Jembrana, Kabupaten Jembrana, Bali",Telp. 081*********,,10779
358.,PR I Gusti Komang Agung Soniyawan,"BANJAR DINAS BUKIT SAKTI, Lokapaksa, Seririt, Kabupaten Buleleng, Bali",Telp. 087*********,,31001
359.,PR I Gusti Made Sahadana,"Banjar Belatung, Desa Pandak Gede, Pandak Gede, Kediri, Kabupaten Tabanan, Bali",Telp. 087*********,,21022
360.,PR I Gusti Ngurah Diyatmika,"JL Carik Aban, Darmasaba, Abiansemal, Kabupaten Badung, Bali",Telp. 081*********,,23929
361.,PR I Gusti Ngurah Gede Suciana,"Banjar Sadnyasari, Ekasari, Melaya, Kabupaten Jembrana, Bali",Telp. 085*********,,10732
362.,PR I Gusti Ngurah Gede Waskita Cakra,"DUSUN PASEKAN, Dawan Kaler, Dawan, Kabupaten Klungkung, Bali",Telp. -,,14111
363.,PR I Gusti Ngurah Jelantik Artawijaya,"Jln. Patih Jelantik No. 100X Gianyar, Beng, Gianyar, Kabupaten Gianyar, Bali",Telp. 081*********,,13122
364.,PD I Gusti Ngurah Krisna Adi,"Br Dinas Badeg Kelodan, Sebudi, Selat, Kabupaten Karang Asem, Bali",Telp. 082*********,,14111
365.,PR I Gusti Ngurah Kusuma Yuda,"JL.	GUNUNG	AGUNG	G.	FLAMBOYAN,	Desa/Kelurahan	Semarapura  Kangin,	Kec.	Klungkung,	Kab.	Klungkung,	Provinsi	Bali, Semarapura  Kangin, Klungkung, Kabupaten Klungkung, Bali",Telp. -,,10423
366.,PR I Gusti Ngurah Made Dwi Darmayasa,"jln. Kutai .Desa Dangin Tukad Daya, Kecematan Jembrana, Kabupaten Jembrana, Dangin Tukadaya, Jembrana, Kabupaten Jembrana, Bali",Telp. 082********,,16293
367.,PR I Gusti Ngurah Putra Ambara,"Jl. Hayam Wuruk GG. VIII C/1, Sumerta Kauh, Denpasar Timur, Kota Denpasar, Bali",Telp. 085*********,,95220
368.,PR I Gusti Ngurah Sugianta,"DUSUN	SARI MERTA, Banjarangkan, Banjarangkan, Kabupaten Klungkung, Bali",Telp. -,,14111
369.,PR I Gusti Nyoman Arbawa,"jalan ngurah rai no. 36, Loloan Timur, Jembrana, Kabupaten Jembrana, Bali",Telp. 081*********,,14120
370.,PR I Gusti Nyoman Catra,"Br. Lambing, Mekar Bhuwana, Abiansemal, Kabupaten Badung, Bali",Telp. 082*********,,10633
371.,PR I Gusti Nyoman Sadi Ari Putra,"BR. MERANGGEN, Tangkas, Klungkung, Kabupaten Klungkung, Bali",Telp. 081*******,,10774
372.,PR I Gusti Putu Sena Adnyana,"Banjar Kerandan, Pemecutan, Denpasar Barat, Kota Denpasar, Bali",Telp. 087*********,,10214
373.,PR I Kade Putra Samiartha,"Jl. Untung Surapati, Lk. Peladung, Subagan, Karangasem, Kabupaten Karang Asem, Bali",Telp. 081*********,,10750
374.,PR I Kadek Angga Setia Ananta,"Banjar Dinas Kawanan, Sawan, Sawan, Kabupaten Buleleng, Bali",Telp. 085*********,,25931
375.,PR I Kadek Dwi Artayasa,"Banjar Anggasari, Ekasari, Melaya, Kabupaten Jembrana, Bali",Telp. 082*********,,10732
376.,PR I Kadek Muliarta,"BR. TAUMAN, Kekeran, Mengwi, Kabupaten Badung, Bali",Telp. 087*********,,23129
377.,PR I Kadek Pranoto Setiawan,"BANJAR BANTANG, Desa/Kelurahan Bantang, Kec. Kintamani, Kab. Bangli, Provinsi Bali, Bantang, Kintamani, Kabupaten Bangli, Bali",Telp. +6287723517757,,16291
378.,PR I Kadek Suardwipayana,"Banjar Celuk Sukawati Gianyar, Celuk, Sukawati, Kabupaten Gianyar, Bali",Telp. 087*********,,32112
379.,PR I Kadek Sudanco,"Banjar Penida Kelod, Tembuku, Tembuku, Kabupaten Bangli, Bali",Telp. 081********,,16299
380.,PR I Kadek Super Pande Yasa,"BR. DINAS BEBAYU, Desa/Kelurahan Laba Sari, Kec. Abang, Kab. Karangasem, Provinsi Bali, Labasari, Abang, Kabupaten Karang Asem, Bali",Telp. 0,,10214
381.,PR I Kadek Wibawa Putra,"Banjar Pande, Abiansemal, Abiansemal, Kabupaten Badung, Bali",Telp. 082*********,,10214
382.,PR I Kadek Wirawan,"DUSUN	TAGTAG,	Desa/Kelurahan	Sampalan	Kelod,	Kec.	Dawan,	Kab, Sampalan Kelod, Dawan, Kabupaten Klungkung, Bali",Telp. 085*********,,13122
383.,PR I Kadek Yuni Ama,"Banjar Sawe, Desa Batu Agung, Batu Agung, Jembrana, Kabupaten Jembrana, Bali",Telp. 085*********,,16293
384.,PR I Ketut Adi Mariana,"Jalan WR Supratman no 18, Sumerta Kaja, Denpasar Timur, Kota Denpasar, Bali",Telp. 081*********,,14111
385.,PR I Ketut Adi Sudiomo,"BANJAR BANTANG,, Bantang, Kintamani, Kabupaten Bangli, Bali",Telp. 628**********,,
386.,PR I Ketut Agus Artana,"Lingkungan Dewasana Kelurahan Pendem kec Jembrana, Pendem, Jembrana, Kabupaten Jembrana, Bali",Telp. 087*********,,31001
387.,PR I Ketut Alit,"Banjar Dinas Muntig, Amerta Bhuana, Selat, Kabupaten Karang Asem, Bali",Telp. 0,,10722
388.,PR I Ketut Alit Suardika,"dusun tengah desa gunaksa, Gunaksa, Dawan, Kabupaten Klungkung, Bali",Telp. 083*********,,16293
389.,PR I Ketut Ardika,"Br. Dinas Kaja, Muncan, Selat, Kabupaten Karang Asem, Bali",Telp. 087*********,,95120
390.,PR I Ketut Arnyana,"Jln. Patih Jelantik, Desa Batu Agung, Batu Agung, Jembrana, Kabupaten Jembrana, Bali",Telp. 081*********,,16293
391.,PR I Ketut Budiana,"Br. Sema, Sumita, Gianyar, Kabupaten Gianyar, Bali",Telp. -,,16293
392.,PR I Ketut Catur Yasa,"Br. Baler Pasar, Darmasaba, Abiansemal, Kabupaten Badung, Bali",Telp. 081*********,,23921
393.,PR I Ketut Dharma Kresna Wijaya,"JL. RAYA MAMBAL SEMANA, BR. UMAHANYAR, Mambal, Abiansemal, Kabupaten Badung, Bali",Telp. 081*********,,32112
394.,PR I Ketut Diastika,"Banjar Pande Sari, Desa Bebandem, Bebanden, Bebandem, Kabupaten Karang Asem, Bali",Telp. 085*********,,25992
395.,PR I Ketut Gampil,"DUSUN/BR BUNGAYA DESA AKAH, Desa/Kelurahan Akah, Kec. Klungkung, Kab. Klungkung, Provinsi Bali, Akah, Klungkung, Kabupaten Klungkung, Bali",Telp. 0,,31002
396.,PR I Ketut Jati,"Banjar Catur, Catur, Kintamani, Kabupaten Bangli, Bali",Telp. 089********,,
397.,PR I Ketut Jenur,"Banjar Dinas Tegeh, Amerta Bhuana, Selat, Kabupaten Karang Asem, Bali",Telp. 0,,10722
398.,PR I Ketut Keriana,"DUSUN BUNGAYA DESA AKAH, Desa/Kelurahan Akah, Kec. Klungkung, Kab. Klungkung, Provinsi Bali, Akah, Klungkung, Kabupaten Klungkung, Bali",Telp. 0,,31002
399.,PR I Ketut Latra,"Banjar Anggasari, Ekasari, Melaya, Kabupaten Jembrana, Bali",Telp. 085*********,,10732
400.,PR I Ketut Lugra,"Banjar Pendem, Manistutu, Melaya, Kabupaten Jembrana, Bali",Telp. 0,,10722
401.,PR I Ketut Merta Binder,"Banjar Dinas Pengalon, Antiga, Manggis, Kabupaten Karang Asem, Bali",Telp. 0,,10774
402.,PR I Ketut Muja,"Dusun Pegatepan, Gelgel, Klungkung, Kabupaten Klungkung, Bali",Telp. 085*********,,25920
403.,PR I Ketut Pande,"Br. Dinas Kelod, Antiga, Manggis, Kabupaten Karang Asem, Bali",Telp. 0,,10774
404.,PR I Ketut Pande Juniasa,"BR. DINAS PANDE SARI, BEBANDEM, KARANGASEM, Bebanden, Bebandem, Kabupaten Karang Asem, Bali",Telp. 085*********,,25992
405.,PR I Ketut Pandi,"Banjar Dinas Pande Sari, Bebanden, Bebandem, Kabupaten Karang Asem, Bali",Telp. 081*********,,25992
406.,PR I Ketut Pariata,"Lingkungan Jasri Kelod, Subagan, Karangasem, Kabupaten Karang Asem, Bali",Telp. 087*********,,25992
407.,PR I Ketut Pugig,"Br. Bucuan, Batuan, Sukawati, Kabupaten Gianyar, Bali",Telp. 081*********,,
408.,PR I Ketut Putu Yasa,"Banjar Dinas Tegeh, Amerta Bhuana, Selat, Kabupaten Karang Asem, Bali",Telp. 0,,10722
409.,PR I Ketut Ribek,"Banjar Dinas Muntig, Amerta Bhuana, Selat, Kabupaten Karang Asem, Bali",Telp. 0,,10722
410.,PR I Ketut Sarjana,"BR. SIIH, Sumita, Gianyar, Kabupaten Gianyar, Bali",Telp. 081*********,,16293
411.,PR I Ketut Serada,"Jalan Muhamad Hatta No. 8x, LC. Subak Aya Bebalang - Bangli, Bebalang, Bangli, Kabupaten Bangli, Bali",Telp. 081*********,,18111
412.,PR I Ketut Seregig,"BANJAR BATUR DUSUN RAME, Kusamba, Dawan, Kabupaten Klungkung, Bali",Telp. 0,,10774
413.,PR I Ketut Suantara,"BANJAR TAMAN, Desa/Kelurahan Batu Agung, Kec. Jembrana, Kab. Jembrana, Provinsi Bali, Batu Agung, Jembrana, Kabupaten Jembrana, Bali",Telp. 0,,16293
414.,PR I Ketut Suastika,"Banjar Dinas Tegeh, Amerta Bhuana, Selat, Kabupaten Karang Asem, Bali",Telp. 0,,10722
415.,PR I KETUT SUBAGIA,"Jl Menuri III no. 2A Kesiman Kertalangu Denpasar - Bali, Kesiman Kertalangu, Denpasar Timur, Kota Denpasar, Bali",Telp. 0361463172,,10793
416.,PR I Ketut Subrata,"Jl. Kroya No. 9, Kesiman, Denpasar Timur, Kota Denpasar, Bali",Telp. 081*********,,95220
417.,PR I Ketut Sudiarsa,"Br. Dinas Jangkaan, Kayubihi, Bangli, Kabupaten Bangli, Bali",Telp. 081********,,10792
418.,PR I Ketut Sugiananta,"Banjar Dinas Yeh Malet, Antiga, Manggis, Kabupaten Karang Asem, Bali",Telp. 081*********,,10774
419.,PR I Ketut Sukaba,"Banjar Mulung, Sumita, Gianyar, Kabupaten Gianyar, Bali",Telp. 081*********,,16293
420.,PR I Ketut Sukedana,"DUSUN GEDE DESA AKAH, Desa/Kelurahan Akah, Kec. Klungkung, Kab. Klungkung, Provinsi Bali, Akah, Klungkung, Kabupaten Klungkung, Bali",Telp. 0,,31002
421.,PR I Ketut Sukra,"Banjar Dinas Babakan, Gegelang, Manggis, Kabupaten Karang Asem, Bali",Telp. 0,,10774
422.,PR I Ketut Suparta,"Br. Pande, Sumita, Gianyar, Kabupaten Gianyar, Bali",Telp. 082*********,,16293
423.,PR I Ketut Suryawan,"Jl. Gadung No. 99, Kapal, Mengwi, Kabupaten Badung, Bali",Telp. 081*********,,31001
424.,PR I Ketut Widana,"JL. DEWI SRI GG. SALAK I / 1 BR.MENGUNTUR, Desa/Kelurahan Batubulan, Kec. Sukawati, Kab. Gianyar, Provinsi Bali, Batubulan, Sukawati, Kabupaten Gianyar, Bali",Telp. 081********,,10732
425.,PR I Ketut Yarma,"Banjar Pendem, Manistutu, Melaya, Kabupaten Jembrana, Bali",Telp. 0,,10722
426.,PR I Ketut Yarta,"Banjar Pendem, Manistutu, Melaya, Kabupaten Jembrana, Bali",Telp. 0,,10722
427.,PR I Komang Agus Rama Wijaya,"Jl. Merpati, Br. Dinas Tajen Sedahan., Desa/Kelurahan Tajen, Kec. Penebel, Kab. Tabanan, Tajen, Penebel, Kabupaten Tabanan, Bali",Telp. 081*********,,
428.,PR I Komang Andi Jaya Kusuma,"Jl. Banteng No.4, Lingk/Br. Kubu, Kel/Ds. Kubu, Kec. Bangli, Kab. Bangli, Kubu, Bangli, Kabupaten Bangli, Bali",Telp. 081*********,,10750
429.,PR I Komang Artawan,"DUSUN	JABON, Sampalan Tengah, Dawan, Kabupaten Klungkung, Bali",Telp. -,,13122
430.,PR I Komang Ayodya,"br. tegak gede, Yehembang  Kangin, Mendoyo, Kabupaten Jembrana, Bali",Telp. 085*********,,10750
431.,PR I Komang Bagus Megahartana,"Br Batanancak, Mas, Ubud, Kabupaten Gianyar, Bali",Telp. 085*********,,16293
432.,PR I Komang Budi,"BR. DINAS YEH MALET, Desa/Kelurahan Antiga Kelod, Kec. Manggis, Kab. Karangasem, Provinsi Bali, Antiga Kelod, Manggis, Kabupaten Karang Asem, Bali",Telp. +6281999105016,,10774
433.,PR I Komang Dedi Eka Putra,"Banjar Taman, Desa Batu Agung, Batu Agung, Jembrana, Kabupaten Jembrana, Bali",Telp. 087*********,,16293
434.,PR I Komang Gede Adhi Putra,"Banjar Adnyasari, Ekasari, Melaya, Kabupaten Jembrana, Bali",Telp. 081*********,,10732
435.,PR I Komang Gede Anugrah Diatmika,"Jalan Mahodara, Br. Sangging, Desa/Kelurahan Kamasan, Kec. Klungkung, Kab. Klungkung, Kamasan, Klungkung, Kabupaten Klungkung, Bali",Telp. 081*********,,32903
436.,PR I Komang Gunawan Arianta,"Br. Dinas Yehmalet, Antiga Kelod, Manggis, Kabupaten Karang Asem, Bali",Telp. 0,,10774
437.,PR I Komang Juliantara,"Banjar Dinas Yeh Malet, Antiga Kelod, Manggis, Kabupaten Karang Asem, Bali",Telp. 0,,10774
438.,PR I Komang Mangku Yasa,"Br. Dinas Pandesari, Bebanden, Bebandem, Kabupaten Karang Asem, Bali",Telp. 081*********,,25992
439.,PR I Komang Muliana,"DUSUN	KELODAN, Besan, Dawan, Kabupaten Klungkung, Bali",Telp. -,,31001
440.,PR I Komang Pande Juliarta,"BR. DINAS PANDE SARI, BEBANDEM, KARANGASEM, Bebanden, Bebandem, Kabupaten Karang Asem, Bali",Telp. 085*********,,25992
441.,PR I Komang Rodawan,"Tagtag, Sampalan Kelod, Dawan, Kabupaten Klungkung, Bali",Telp. -,,13122
442.,PR I Komang Suardika,"Banjar Dinas Yeh Malet, Antiga Kelod, Manggis, Kabupaten Karang Asem, Bali",Telp. +6282147643925,,10774
443.,PR I Komang Sudarma,"Br. Dinas Yehmalet, Antiga Kelod, Manggis, Kabupaten Karang Asem, Bali",Telp. 0,,10774
444.,PR I Komang Sudarsana,"Banjar Dinas Pande Sari, Bebanden, Bebandem, Kabupaten Karang Asem, Bali",Telp. 0,,25992
445.,PR I Komang Sudiarta,"Dusun Rame Desa Kusamba, Kusamba, Dawan, Kabupaten Klungkung, Bali",Telp. 085*********,,10774
446.,PR I Komang Sudiarta,"DUSUN RAME DESA KUSAMBA, Kusamba, Dawan, Kabupaten Klungkung, Bali",Telp. 081*********,,10774
447.,PR I Komang Sugiarta,"Dusun Tihingan, Tihingan, Banjarangkan, Kabupaten Klungkung, Bali",Telp. 081*******,,32201
448.,PR I Komang Sumarwana,"Banjar Juga, Mas, Ubud, Kabupaten Gianyar, Bali",Telp. 085*********,,16293
449.,PR I Komang Supartika,"BR. DINAS PANDE SARI, BEBANDEM, KARANGASEM, Bebanden, Bebandem, Kabupaten Karang Asem, Bali",Telp. 085*********,,25992
450.,PR I Komang Suryawan,"Jl. Ratna II No. 2 Br. Sintrig, Sibangkaja, Abiansemal, Kabupaten Badung, Bali",Telp. 087*********,,25931
451.,PR I Komang Tinggal,"Banjar Dinas Abiantiing, Amerta Bhuana, Selat, Kabupaten Karang Asem, Bali",Telp. 0,,10722
452.,PR I Komang Widi Adnyana,"Jalan Sakura 1, Desa Kemoning, Semarapura  Kelod, Klungkung, Kabupaten Klungkung, Bali",Telp. 087*********,,10392
453.,PR I Komang Wikanadi,"BANJAR BATUAGUNG, Batu Agung, Jembrana, Kabupaten Jembrana, Bali",Telp. 0,,16293
454.,PR I Komang Wiraguna,"Br. DInas Pandesari, Bebanden, Bebandem, Kabupaten Karang Asem, Bali",Telp. 081*********,,25992
455.,PR I Made Adi Raharta,"Banjar Dinas Lantang Katik, Telaga Tawang, Sidemen, Kabupaten Karang Asem, Bali",Telp. 085********,,13121
456.,PR I Made Adi Suryawan,"JL NAKULA NO 10, BANJAR ANYAR, Tegal Badeng Barat, Negara, Kabupaten Jembrana, Bali",Telp. 081*********,,31001
457.,PR I Made Angga Wisnu Mahendra,"br. tegak gede, Yehembang  Kangin, Mendoyo, Kabupaten Jembrana, Bali",Telp. 087*********,,32903
458.,PR I Made Ardana,"Banjar Dinas Pande Sari, Bebanden, Bebandem, Kabupaten Karang Asem, Bali",Telp. 081*********,,25992
459.,PR I Made Arta Fridayana,"Jalan Tamansari, Lingkungan Kubu - Bangli, Kubu, Bangli, Kabupaten Bangli, Bali",Telp. 082*********,,10423
460.,PR I MADE BAMBANG SWIDANA,"Jl. Gong Gede No. 21, Dusun Tihingan, Tihingan, Banjarangkan, Kabupaten Klungkung, Bali",Telp. 089*********,,32201
461.,PR I Made Budiana,"Banjar Dinas Tegeh, Amerta Bhuana, Selat, Kabupaten Karang Asem, Bali",Telp. 0,,10722
462.,PR I Made Dania,"Banjar Gegaran, Baha, Mengwi, Kabupaten Badung, Bali",Telp. 081*********,,25933
463.,PR I Made Durya,"Banjar Simpangan, Pejaten, Kediri, Kabupaten Tabanan, Bali",Telp. 083*********,,23932
464.,PR I Made Duta Warnata,"Br Kukuh, Kukuh, Kerambitan, Kabupaten Tabanan, Bali",Telp. 085*********,,95120
465.,PR I Made Dwi Astawa,"BANJAR BALUK 1, Baluk, Negara, Kabupaten Jembrana, Bali",Telp. 087*********,,31001
466.,PR I Made Dwi Sumadi Putra,"Jalan Jatayu No. 1,, Yeh Sumbul, Mendoyo, Kabupaten Jembrana, Bali",Telp. 085***********,,10779
467.,PR I Made Girigunadi,"Jalan Pratu Made Rambug, Perumahan Bumi Sasih, Blok II A No. 14 Desa/Kelurahan Batubulan, Kec. Sukawati, Kab. Gianyar, Provinsi Bali, Batubulan, Sukawati, Kabupaten Gianyar, Bali",Telp. 081********,,10729
468.,PR I Made Hartawan Negara,"DUSUN BALUK I, Baluk, Negara, Kabupaten Jembrana, Bali",Telp. 081********,,10631
469.,PR I MADE LIONA AGUS AGATAMA,"BR. CELUK, Celuk, Sukawati, Kabupaten Gianyar, Bali",Telp. 081*********,,32112
470.,PR I Made Mardiana,"jln ratna no 10 baler baleagung, Baler Bale Agung, Negara, Kabupaten Jembrana, Bali",Telp. 081*********,,95110
471.,PR I Made Mastra,"BANJAR DINAS PENYUMBAHAN, Desa/Kelurahan Les, Kec. Tejakula, Les, Tejakula, Kabupaten Buleleng, Bali",Telp. 087*********,,10774
472.,PR I Made Minggu,"BR. DINAS BEBAYU, Desa/Kelurahan Laba Sari, Kec. Abang, Kab. Karangasem, Provinsi Bali, Labasari, Abang, Kabupaten Karang Asem, Bali",Telp. 0,,10214
473.,PR I Made Mustiana,"dusun bandung desa gunaksa, Gunaksa, Dawan, Kabupaten Klungkung, Bali",Telp. 083*********,,16293
474.,PR I Made Oka Setiawan,"Br. Dinas Serampingan Kelod, Megati, Salamadeg  Timur, Kabupaten Tabanan, Bali",Telp. 085*********,,31009
475.,PR I Made Oka Upadyana,"Lingk. Tengah Tangeb Abianbase, Abianbase, Mengwi, Kabupaten Badung, Bali",Telp. 081*********,,16221
476.,PR I Made Pande Astawan,"Banjar Semadi, Subagan, Karangasem, Kabupaten Karang Asem, Bali",Telp. 081*********,,25992
477.,PR I Made Purca,"Banjar Sadnyasari, Ekasari, Melaya, Kabupaten Jembrana, Bali",Telp. 088**********,,10732
478.,PR I Made Purna,"BR. DINAS KEBON, Desa/Kelurahan Telagatawang, Kec. Sidemen, Kab. Karangasem, Provinsi Bali, Telaga Tawang, Sidemen, Kabupaten Karang Asem, Bali",Telp. 0,,13122
479.,PR I Made Putra Duana,"Jalan Kendran,  Banjar Gentong, Tegallalang, Tegallalang, Tegallalang, Kabupaten Gianyar, Bali",Telp. 081*********,,14302
480.,PR I Made Putrayasa,"Jalan WR. Supratman No. 104, Desa/Kelurahan Sumerta, Kec. Denpasar Timur, Kota Denpasar, Provinsi Bali, Sumerta, Denpasar Timur, Kota Denpasar, Bali",Telp. 081*********,,95230
481.,PR I Made Rai Sandiana,"Br.Belulang, Kapal, Mengwi, Kabupaten Badung, Bali",Telp. 085*********,,23932
482.,PR I Made Sabar,"Gang Baris, Desa/Kelurahan Batuan, Kec. Sukawati, Kab. Gianyar, Provinsi Bali, Batuan, Sukawati, Kabupaten Gianyar, Bali",Telp. +6281338705087,,32903
483.,PR I Made Sadnyana,"Banjar Dinas Dauh Pura, Tigawasa, Banjar, Kabupaten Buleleng, Bali",Telp. 083*********,,32903
484.,PR I Made Sana,"Lingkungan Karang Suwung, Sading, Mengwi, Kabupaten Badung, Bali",Telp. 087*********,,10710
485.,PR I Made Sanjaya,"DUSUN SANGGING DESA KAMASAN, Desa/Kelurahan Kamasan, Kec. Klungkung, Kab. Klungkung, Provinsi Bali, Kamasan, Klungkung, Kabupaten Klungkung, Bali",Telp. 085*********,,32119
486.,PR I Made Sari,"Br. Dinas Pandesari, Bebanden, Bebandem, Kabupaten Karang Asem, Bali",Telp. 082*********,,25992
487.,PR I Made Suadnyana,"Jalan Ahmad Yani, Jasri Kelod, Subagan, Karangasem, Bali, Subagan, Karangasem, Kabupaten Karang Asem, Bali",Telp. 081*********,,10761
488.,PR I Made Suarsa,"BR. DINAS KAWANAN, Desa/Kelurahan Sawan, Kec. Sawan, Kab. Buleleng, Provinsi Bali, Sawan, Sawan, Kabupaten Buleleng, Bali",Telp. 0,,25933
489.,PR I Made Suarsa,"Jl. Kelapa Buntu No 7 A Lingk. Kerthayasa, Kedonganan, Kuta, Kabupaten Badung, Bali",Telp. 081*********,,10710
490.,PR I Made Sudarman,"Banjar Pamesan, Pejaten, Kediri, Kabupaten Tabanan, Bali",Telp. 081*********,,23932
491.,PR I Made Sudiarta,"Banjar Lokasari, Undisan, Tembuku, Kabupaten Bangli, Bali",Telp. 081********,,32112
492.,PR I Made Sukanadi,"BANJAR WALI, Yehembang, Mendoyo, Kabupaten Jembrana, Bali",Telp. 628**********,,10761
493.,UD I Made Sukma Swacita,"Jalan Raya Puputan, Banjar Jelantik Kuri Batu Desa Tojan, Klungkung - Bali, Kamasan, Klungkung, Kabupaten Klungkung, Bali",Telp. 081********,,24320
494.,PR I Made Suma Ariwibawa,"Banjar Wanasari, Ekasari, Melaya, Kabupaten Jembrana, Bali",Telp. 0709230071572,,10732
495.,PR I Made Sumatri,"BR. PANDE ABIANSEMAL, Desa/Kelurahan Abiansemal,, Abiansemal, Abiansemal, Kabupaten Badung, Bali",Telp. 0,,10214
496.,PR I Made Sunarya,"Banjar Pande, Abiansemal, Abiansemal, Kabupaten Badung, Bali",Telp. 081*********,,10214
497.,PR I Made Surada,"Banjar Dinas Pande Sari, Bebanden, Bebandem, Kabupaten Karang Asem, Bali",Telp. 082*********,,25992
498.,PR I Made Suratmaja,"Banjar Kaliakah, Kaliakah, Negara, Kabupaten Jembrana, Bali",Telp. 087*********,,25931
499.,PR I Made Suryadi,"br pancardawa,kelurahan pendem,kec.jembrana-kabupaten jembrana,provinsi bali, Pendem, Jembrana, Kabupaten Jembrana, Bali",Telp. 087*********,,31001
500.,PR I Made Susila,"BANJAR DINAS PANDESARI, Bebanden, Bebandem, Kabupaten Karang Asem, Bali",Telp. 085*********,,25992
501.,PR I Made Sutata,"Br. Batusari Sangeh, Sangeh, Abiansemal, Kabupaten Badung, Bali",Telp. 087*********,,25933
502.,PR I Made Suwebawa,"Dusun Tengah Desa Tegak, Tegak, Klungkung, Kabupaten Klungkung, Bali",Telp. 081*********,,13122
503.,PR I Made Suwebawa,"DUSUN TENGAH, Tegak, Klungkung, Kabupaten Klungkung, Bali",Telp. -,,13122
504.,PR I Made Tino Indra Pradnya,"Jln. Nusantara No. 137, Kubu, Bangli, Kabupaten Bangli, Bali",Telp. 082*********,,18111
505.,PR I Made Wandra,"Banjar Serong, Gumbrih, Pekutatan, Kabupaten Jembrana, Bali",Telp. 085*********,,10774
506.,PR I Made Wardana Putra,"Jalan Dewi Supraba IX No. 11A, Peguyangan  Kangin, Denpasar Utara, Kota Denpasar, Bali",Telp. 081*********,,32112
507.,UD I Made Wijana,"Banjar Anyar Tengah, Desa Penyaringan, Kecamatan Mendoyo, Kabupaten Jembrana, Bali",Telp. 087*********,,10631
508.,PR I Made Wintara,"Banjar Dinas Lodalang, Desa/Kelurahan Kukuh, Kukuh, Marga, Kabupaten Tabanan, Bali",Telp. 081*********,,32903
509.,PR I Nengah Alit Winangun,"BANJAR KARANGSARI, Ekasari, Melaya, Kabupaten Jembrana, Bali",Telp. 085***********,,31001
510.,PR I Nengah Ariawan,"BANJAR GEROMBONG, Sulang, Dawan, Kabupaten Klungkung, Bali",Telp. 082*********,,10391
